company_top5,title,avg_ttl_salary
GOOGLE,"SOFTWARE ENGINEERING MANAGER",492686.0465116279
APPLE,"SOFTWARE ENGINEERING MANAGER",461535.71428571426
AMAZON,"SOFTWARE ENGINEERING MANAGER",385731.21387283236
GOOGLE,"PRODUCT MANAGER",382993.22033898305
MICROSOFT,"SOFTWARE ENGINEERING MANAGER",362309.90415335464
OTHERS,"SOFTWARE ENGINEERING MANAGER",330701.3223894209
APPLE,"SOLUTION ARCHITECT",322400
GOOGLE,"SOLUTION ARCHITECT",317500
ORACLE,"SOFTWARE ENGINEERING MANAGER",316160.37735849054
APPLE,"PRODUCT MANAGER",297951.6129032258
GOOGLE,"TECHNICAL PROGRAM MANAGER",291564.6258503401
GOOGLE,"MANAGEMENT CONSULTANT",287000
MICROSOFT,SALES,283432.8358208955
APPLE,MARKETING,281833.3333333333
GOOGLE,"PRODUCT DESIGNER",279560.28368794324
APPLE,"SOFTWARE ENGINEER",273902.4691358025
GOOGLE,"DATA SCIENTIST",271566.6666666667
APPLE,"DATA SCIENTIST",269227.84810126584
GOOGLE,"SOFTWARE ENGINEER",268211.575562701
APPLE,"HARDWARE ENGINEER",266795.2380952381
APPLE,"PRODUCT DESIGNER",266692.3076923077
AMAZON,"PRODUCT MANAGER",266658.8888888889
AMAZON,"MANAGEMENT CONSULTANT",264166.6666666667
GOOGLE,"HARDWARE ENGINEER",253087.5
APPLE,"TECHNICAL PROGRAM MANAGER",250533.33333333334
OTHERS,"PRODUCT MANAGER",247170.0705532863
GOOGLE,"MECHANICAL ENGINEER",246821.42857142858
AMAZON,"HARDWARE ENGINEER",245081.6326530612
MICROSOFT,"TECHNICAL PROGRAM MANAGER",240922.33009708737
APPLE,"MECHANICAL ENGINEER",238725.8064516129
GOOGLE,MARKETING,238420
MICROSOFT,"PRODUCT MANAGER",233288.43106180665
AMAZON,SALES,231812.5
MICROSOFT,"SOLUTION ARCHITECT",231379.03225806452
MICROSOFT,"MANAGEMENT CONSULTANT",230500
ORACLE,"TECHNICAL PROGRAM MANAGER",230433.96226415093
GOOGLE,SALES,228793.6507936508
OTHERS,"TECHNICAL PROGRAM MANAGER",228291.47286821707
AMAZON,"TECHNICAL PROGRAM MANAGER",224861.42322097378
AMAZON,"SOLUTION ARCHITECT",224771.01449275363
ORACLE,"PRODUCT MANAGER",224586.66666666666
AMAZON,"DATA SCIENTIST",222347.16981132075
APPLE,"HUMAN RESOURCES",221909.0909090909
APPLE,RECRUITER,220750
AMAZON,"MECHANICAL ENGINEER",218500
MICROSOFT,"DATA SCIENTIST",214729.35779816515
AMAZON,"PRODUCT DESIGNER",211175.32467532466
MICROSOFT,"HARDWARE ENGINEER",209278.3505154639
ORACLE,MARKETING,206333.33333333334
MICROSOFT,"MECHANICAL ENGINEER",205818.18181818182
AMAZON,"SOFTWARE ENGINEER",204249.6516719745
ORACLE,"SOLUTION ARCHITECT",203393.9393939394
ORACLE,"SOFTWARE ENGINEER",203196.5648854962
OTHERS,"PRODUCT DESIGNER",199512.69990592662
OTHERS,"SOFTWARE ENGINEER",197960.4838126897
MICROSOFT,MARKETING,197397.5903614458
GOOGLE,"HUMAN RESOURCES",197206.89655172414
OTHERS,MARKETING,196019.955654102
OTHERS,"HARDWARE ENGINEER",195095.20639147802
OTHERS,"DATA SCIENTIST",194474.71022128555
OTHERS,SALES,194316.87242798353
GOOGLE,"BUSINESS ANALYST",193285.7142857143
OTHERS,"SOLUTION ARCHITECT",192833.33333333334
APPLE,"BUSINESS ANALYST",191000
AMAZON,MARKETING,186864.0776699029
MICROSOFT,"SOFTWARE ENGINEER",186346.65646564658
MICROSOFT,"PRODUCT DESIGNER",185415.84158415842
ORACLE,RECRUITER,180000
OTHERS,"HUMAN RESOURCES",178191.66666666666
GOOGLE,RECRUITER,173767.44186046513
AMAZON,"HUMAN RESOURCES",173492.53731343284
MICROSOFT,"BUSINESS ANALYST",171619.04761904763
ORACLE,"PRODUCT DESIGNER",170636.36363636365
ORACLE,"DATA SCIENTIST",158666.66666666666
OTHERS,"MANAGEMENT CONSULTANT",158384.94623655913
MICROSOFT,"HUMAN RESOURCES",154100
OTHERS,RECRUITER,153817.2757475083
AMAZON,"SOFT ENGINEER",152000
AMAZON,RECRUITER,149750
ORACLE,SALES,148190.47619047618
ORACLE,"HARDWARE ENGINEER",147500
AMAZON,"BUSINESS ANALYST",131016.39344262295
OTHERS,"SOFT ENGINEER",130000
OTHERS,"MECHANICAL ENGINEER",129994.21965317919
ORACLE,"HUMAN RESOURCES",125400
OTHERS,"BUSINESS ANALYST",122693.93939393939
MICROSOFT,RECRUITER,117857.14285714286
ORACLE,"MANAGEMENT CONSULTANT",112666.66666666667
ORACLE,"BUSINESS ANALYST",109222.22222222222
APPLE,SALES,69666.66666666667
